country	source	reason
jersey	GISAID	no_mapping_found
antarctica	GISAID	no_mapping_found
andorra	GISAID	no_mapping_found
micronesia	GISAID	no_mapping_found
mayotte	GISAID	no_mapping_found
american samoa	GISAID	no_mapping_found
greenland	GISAID	no_mapping_found
hong kong (sar)	GISAID	no_mapping_found
kiribati	GISAID	no_mapping_found
benin	GISAID	no_mapping_found
cote d'ivoire	GISAID	no_mapping_found
palau	GISAID	no_mapping_found
djibouti	GISAID	no_mapping_found
puerto rico	GISAID	no_mapping_found
gibraltar	GISAID	no_mapping_found
guam	GISAID	no_mapping_found
macao	GISAID	no_mapping_found
botswana	GISAID	no_mapping_found
tonga	GISAID	no_mapping_found
taiwan	GISAID	no_mapping_found
samoa	GISAID	no_mapping_found
vanuatu	GISAID	no_mapping_found
tuvalu	GISAID	no_mapping_found
nauru	GISAID	no_mapping_found
monaco	GISAID	no_mapping_found
palestinian territory	GISAID	no_mapping_found
reunion	GISAID	no_mapping_found
gambia	GISAID	no_mapping_found
) and   women (	FluNet	no_mapping_found
saint barthélemy	FluNet	no_mapping_found
liberia	FluNet	no_mapping_found
turkey	FluNet	no_mapping_found
sadolburg	FluNet	no_mapping_found
headache) was recorded. the nasopharyngeal swab was taken from   years old patient	FluNet	no_mapping_found
antigua and barbuda	FluNet	no_mapping_found
serbia and montenegro ( - )	FluNet	no_mapping_found
papua new guinea	FluNet	no_mapping_found
korea	FluNet	no_mapping_found
za	FluNet	no_mapping_found
guinea	FluNet	no_mapping_found
lao	FluNet	no_mapping_found
were positive for influenza) with different distribution of virus subtypes between separate cities.	FluNet	no_mapping_found
"years old) with ili."""	FluNet	no_mapping_found
south sudan	FluNet	no_mapping_found
es	FluNet	no_mapping_found
diarrhea	FluNet	no_mapping_found
czech republic	FluNet	no_mapping_found
côte d’ivoire	FluNet	no_mapping_found
ar	FluNet	no_mapping_found
"activity.  """	FluNet	no_mapping_found
liechtenstein	FluNet	no_mapping_found
suceava	FluNet	no_mapping_found
"""china"	FluNet	no_mapping_found
united states	FluNet	no_mapping_found
parma and roma.	FluNet	no_mapping_found
chad	FluNet	no_mapping_found
ch	FluNet	no_mapping_found
and   regions in british columbia (maps). during the same week	FluNet	no_mapping_found
"from a   yrs patient. the case is from siena (central italy). """	FluNet	no_mapping_found
bloemfontein ( )	FluNet	no_mapping_found
bolivia	FluNet	no_mapping_found
br	FluNet	no_mapping_found
respectively).	FluNet	no_mapping_found
libya	FluNet	no_mapping_found
"% for overall population and was  -  times higher among children groups. influenza a(h n ) viruses (  """	FluNet	no_mapping_found
in northern italy	FluNet	no_mapping_found
mx	FluNet	no_mapping_found
netherlands (kingdom of the)	FluNet	no_mapping_found
iran	FluNet	no_mapping_found
investigation showed that among   patients	FluNet	no_mapping_found
tanzania	FluNet	no_mapping_found
lv	FluNet	no_mapping_found
republic of moldova	FluNet	no_mapping_found
brunei	FluNet	no_mapping_found
venezuela	FluNet	no_mapping_found
"with """	FluNet	no_mapping_found
macedonia	FluNet	no_mapping_found
vietnam	FluNet	no_mapping_found
